geoID_long,geoID_short,muni_long,muni_short,total,15-19,pct_15-19
0600000US4400105140,4400105140,"Barrington town, Bristol County, Rhode Island",Barrington,8506,598,0.0703033153068
0600000US4400109280,4400109280,"Bristol town, Bristol County, Rhode Island",Bristol,11841,1119,0.0945021535343
0600000US4400711800,4400711800,"Burrillville town, Providence County, Rhode Island",Burrillville,8022,481,0.0599601096983
0600000US4400714140,4400714140,"Central Falls city, Providence County, Rhode Island",Central Falls,9552,730,0.0764237855946
0600000US4400914500,4400914500,"Charlestown town, Washington County, Rhode Island",Charlestown,3912,229,0.0585378323108
0600000US4400318640,4400318640,"Coventry town, Kent County, Rhode Island",Coventry,18030,1150,0.0637825845813
0600000US4400719180,4400719180,"Cranston city, Providence County, Rhode Island",Cranston,40656,2540,0.0624754033845
0600000US4400720080,4400720080,"Cumberland town, Providence County, Rhode Island",Cumberland,17310,1063,0.0614095898325
0600000US4400322240,4400322240,"East Greenwich town, Kent County, Rhode Island",East Greenwich,6874,482,0.0701192900786
0600000US4400722960,4400722960,"East Providence city, Providence County, Rhode Island",East Providence,25013,1334,0.053332267221
0600000US4400925300,4400925300,"Exeter town, Washington County, Rhode Island",Exeter,3203,281,0.0877302528879
0600000US4400727460,4400727460,"Foster town, Providence County, Rhode Island",Foster,2283,154,0.0674551029347
0600000US4400730340,4400730340,"Glocester town, Providence County, Rhode Island",Glocester,4820,343,0.0711618257261
0600000US4400935380,4400935380,"Hopkinton town, Washington County, Rhode Island",Hopkinton,4131,243,0.0588235294118
0600000US4400536820,4400536820,"Jamestown town, Newport County, Rhode Island",Jamestown,2719,142,0.052225082751
0600000US4400737720,4400737720,"Johnston town, Providence County, Rhode Island",Johnston,15136,810,0.0535147991543
0600000US4400741500,4400741500,"Lincoln town, Providence County, Rhode Island",Lincoln,11031,698,0.0632762215574
0600000US4400542400,4400542400,"Little Compton town, Newport County, Rhode Island",Little Compton,1782,87,0.0488215488215
0600000US4400545460,4400545460,"Middletown town, Newport County, Rhode Island",Middletown,8387,444,0.0529390723739
0600000US4400948340,4400948340,"Narragansett town, Washington County, Rhode Island",Narragansett,8101,513,0.0633255153685
0600000US4400950500,4400950500,"New Shoreham town, Washington County, Rhode Island",New Shoreham,513,11,0.0214424951267
0600000US4400549960,4400549960,"Newport city, Newport County, Rhode Island",Newport,12603,1028,0.0815678806633
0600000US4400951580,4400951580,"North Kingstown town, Washington County, Rhode Island",North Kingstown,13602,884,0.064990442582
0600000US4400751760,4400751760,"North Providence town, Providence County, Rhode Island",North Providence,17238,885,0.0513400626523
0600000US4400752480,4400752480,"North Smithfield town, Providence County, Rhode Island",North Smithfield,6296,371,0.0589263024142
0600000US4400754640,4400754640,"Pawtucket city, Providence County, Rhode Island",Pawtucket,37064,2333,0.0629451759119
0600000US4400557880,4400557880,"Portsmouth town, Newport County, Rhode Island",Portsmouth,8854,606,0.0684436412921
0600000US4400759000,4400759000,"Providence city, Providence County, Rhode Island",Providence,92240,10115,0.109659583695
0600000US4400961160,4400961160,"Richmond town, Washington County, Rhode Island",Richmond,3872,215,0.0555268595041
0600000US4400764220,4400764220,"Scituate town, Providence County, Rhode Island",Scituate,5260,345,0.0655893536122
0600000US4400766200,4400766200,"Smithfield town, Providence County, Rhode Island",Smithfield,11113,1030,0.0926842436786
0600000US4400967460,4400967460,"South Kingstown town, Washington County, Rhode Island",South Kingstown,16082,2826,0.175724412387
0600000US4400570880,4400570880,"Tiverton town, Newport County, Rhode Island",Tiverton,8134,430,0.0528645193017
0600000US4400173760,4400173760,"Warren town, Bristol County, Rhode Island",Warren,5577,271,0.0485924332078
0600000US4400374300,4400374300,"Warwick city, Kent County, Rhode Island",Warwick,43128,2230,0.0517065479503
0600000US4400377720,4400377720,"West Greenwich town, Kent County, Rhode Island",West Greenwich,3081,222,0.0720545277507
0600000US4400378440,4400378440,"West Warwick town, Kent County, Rhode Island",West Warwick,15076,773,0.05127354736
0600000US4400977000,4400977000,"Westerly town, Washington County, Rhode Island",Westerly,11874,613,0.0516254000337
0600000US4400780780,4400780780,"Woonsocket city, Providence County, Rhode Island",Woonsocket,21251,1260,0.0592913274669
