geoID_long,geoID_short,muni_long,muni_short,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC03_EST_VC22,HC03_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC03_EST_VC24,HC03_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC03_EST_VC25,HC03_MOE_VC25,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC03_EST_VC28,HC03_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC03_EST_VC29,HC03_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC03_EST_VC30,HC03_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC03_EST_VC31,HC03_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC03_EST_VC32,HC03_MOE_VC32,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC03_EST_VC35,HC03_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC03_EST_VC36,HC03_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC03_EST_VC37,HC03_MOE_VC37
0600000US4400105140,4400105140,"Barrington town, Bristol County, Rhode Island",Barrington,15585,146,98.2,0.8,1.8,0.8,91.2,1.8,,,,,8.8,1.8,79.5,8.3,20.5,8.3,1.2,0.7,85.0,17.8,15.0,17.8,5.3,1.4,82.3,10.6,17.7,10.6,1.6,0.7,63.5,17.9,36.5,17.9,0.6,0.6,87.5,22.4,12.5,22.4,187,108,85.0,17.8,15.0,17.8,68,54,100.0,37.3,0.0,37.3,102,61,72.5,28.6,27.5,28.6,17,19,100.0,74.6,0.0,74.6,831,213,82.3,10.6,17.7,10.6,183,83,92.9,12.2,7.1,12.2,411,123,90.8,6.0,9.2,6.0,237,110,59.5,27.5,40.5,27.5,255,104,63.5,17.9,36.5,17.9,119,50,78.2,18.3,21.8,18.3,136,77,50.7,24.5,49.3,24.5,0,19,,,,,96,88,87.5,22.4,12.5,22.4,30,35,100.0,56.2,0.0,56.2,64,55,81.3,29.7,18.8,29.7,2,4,100.0,100.0,0.0,100.0,11439,259,98.6,0.7,1.4,0.7,93.4,1.6,,,,,6.6,1.6,79.2,8.6,20.8,8.6,1.0,0.6,76.5,25.6,23.5,25.6,5.5,1.4,79.7,8.7,20.3,8.7,4.1,,,,,,5.3,,,,,,9.5,,,,,
0600000US4400109280,4400109280,"Bristol town, Bristol County, Rhode Island",Bristol,21674,163,93.9,1.5,6.1,1.5,83.6,2.6,,,,,16.4,2.6,63.0,6.7,37.0,6.7,1.3,0.6,52.8,24.6,47.2,24.6,13.9,2.4,64.8,7.1,35.2,7.1,1.0,0.5,59.5,22.4,40.5,22.4,0.2,0.2,15.4,40.9,84.6,40.9,286,140,52.8,24.6,47.2,24.6,0,23,,,,,199,111,50.3,34.7,49.7,34.7,87,79,58.6,38.4,41.4,38.4,3010,523,64.8,7.1,35.2,7.1,280,170,75.0,24.4,25.0,24.4,1842,371,75.6,6.4,24.4,6.4,888,207,39.3,12.5,60.7,12.5,227,108,59.5,22.4,40.5,22.4,14,21,100.0,82.2,0.0,82.3,203,96,59.6,26.3,40.4,26.3,10,17,0.0,97.3,100.0,97.3,39,52,15.4,40.9,84.6,40.9,0,23,,,,,33,50,0.0,53.6,100.0,53.6,6,12,100.0,100.0,0.0,100.0,18453,279,95.1,1.4,4.9,1.4,85.6,2.4,,,,,14.4,2.4,66.4,7.4,33.6,7.4,1.0,0.6,56.5,25.8,43.5,25.8,13.4,2.3,67.2,7.5,32.8,7.5,5.1,,,,,,3.0,,,,,,4.0,,,,,
0600000US4400711800,4400711800,"Burrillville town, Providence County, Rhode Island",Burrillville,15343,174,99.1,0.5,0.9,0.5,95.0,1.5,,,,,5.0,1.5,81.2,8.7,18.8,8.7,0.6,0.4,70.5,33.4,29.5,33.4,3.6,1.3,83.9,10.0,16.1,10.0,0.3,0.3,77.1,38.5,22.9,38.5,0.5,0.6,76.8,20.2,23.2,20.2,88,58,70.5,33.4,29.5,33.4,1,3,100.0,100.0,0.0,100.0,87,58,70.1,33.7,29.9,33.7,0,19,,,,,548,198,83.9,10.0,16.1,10.0,34,38,100.0,52.8,0.0,52.8,195,124,85.1,15.9,14.9,15.9,319,158,81.5,14.5,18.5,14.5,48,46,77.1,38.5,22.9,38.5,0,19,,,,,44,46,84.1,37.3,15.9,37.3,4,9,0.0,100.0,100.0,100.0,82,86,76.8,20.2,23.2,20.2,0,19,,,,,53,61,79.2,28.3,20.8,28.3,29,51,72.4,72.4,27.6,72.4,12541,339,99.2,0.5,0.8,0.5,94.6,1.8,,,,,5.4,1.8,84.8,8.7,15.2,8.7,0.7,0.5,70.1,33.7,29.9,33.7,4.7,1.8,86.9,8.9,13.1,8.9,3.3,,,,,,8.1,,,,,,11.1,,,,,
0600000US4400714140,4400714140,"Central Falls city, Providence County, Rhode Island",Central Falls,17374,239,63.1,3.3,36.9,3.3,29.1,3.2,,,,,70.9,3.2,47.9,3.7,52.1,3.7,59.8,3.5,46.4,4.2,53.6,4.2,10.5,2.4,56.0,7.8,44.0,7.8,0.0,0.1,0.0,100.0,100.0,100.0,0.5,0.4,60.0,41.6,40.0,41.6,10397,647,46.4,4.2,53.6,4.2,2442,398,84.8,4.8,15.2,4.8,7623,526,35.7,5.1,64.3,5.1,332,107,11.7,9.9,88.3,9.9,1823,421,56.0,7.8,44.0,7.8,280,148,89.6,11.8,10.4,11.8,1215,304,55.2,10.2,44.8,10.2,328,100,30.2,14.8,69.8,14.8,8,13,0.0,100.0,100.0,100.0,0,19,,,,,8,13,0.0,100.0,100.0,100.0,0,19,,,,,90,70,60.0,41.6,40.0,41.6,0,19,,,,,70,64,48.6,49.2,51.4,49.2,20,32,100.0,68.8,0.0,68.8,8924,615,76.4,3.2,23.6,3.2,43.1,4.2,,,,,56.9,4.2,58.5,4.7,41.5,4.7,42.6,4.1,60.3,6.2,39.7,6.2,14.3,3.2,53.4,9.9,46.6,9.9,1.8,,,,,,1.3,,,,,,1.5,,,,,
0600000US4400914500,4400914500,"Charlestown town, Washington County, Rhode Island",Charlestown,7387,143,99.7,0.4,0.3,0.4,97.7,1.2,,,,,2.3,1.2,85.5,16.3,14.5,16.3,0.3,0.3,100.0,62.8,0.0,62.8,1.3,0.6,86.3,18.6,13.7,18.6,0.2,0.3,0.0,88.8,100.0,88.8,0.6,0.9,100.0,48.1,0.0,48.1,24,23,100.0,62.8,0.0,62.8,0,17,,,,,24,23,100.0,62.8,0.0,62.8,0,17,,,,,95,44,86.3,18.6,13.7,18.6,0,17,,,,,52,36,100.0,42.7,0.0,42.7,43,35,69.8,40.9,30.2,40.9,12,20,0.0,88.8,100.0,88.8,0,17,,,,,12,20,0.0,88.8,100.0,88.8,0,17,,,,,41,70,100.0,48.1,0.0,48.1,0,17,,,,,41,70,100.0,48.1,0.0,48.1,0,17,,,,,6305,219,99.6,0.4,0.4,0.4,97.5,1.4,,,,,2.5,1.4,84.0,17.9,16.0,17.9,0.4,0.4,100.0,62.8,0.0,62.8,2.1,1.3,81.1,21.0,18.9,21.0,1.5,,,,,,0.0,,,,,,4.1,,,,,
0600000US4400318640,4400318640,"Coventry town, Kent County, Rhode Island",Coventry,33517,293,99.0,0.4,1.0,0.4,95.2,1.2,,,,,4.8,1.2,79.1,6.0,20.9,6.0,0.6,0.3,83.8,13.2,16.2,13.2,3.4,1.1,79.2,7.8,20.8,7.8,0.3,0.3,63.6,8.4,36.4,8.4,0.5,0.6,83.5,32.3,16.5,32.3,185,89,83.8,13.2,16.2,13.2,25,29,100.0,61.6,0.0,61.6,152,72,80.3,16.4,19.7,16.4,8,14,100.0,100.0,0.0,100.0,1145,351,79.2,7.8,20.8,7.8,105,61,100.0,27.7,0.0,27.7,648,213,84.4,9.6,15.6,9.6,392,161,65.1,19.6,34.9,19.6,110,115,63.6,8.4,36.4,8.4,32,48,28.1,11.7,71.9,11.7,78,77,78.2,21.5,21.8,21.5,0,26,,,,,158,190,83.5,32.3,16.5,32.3,23,34,100.0,64.2,0.0,64.2,124,154,87.9,29.2,12.1,29.2,11,19,0.0,92.8,100.0,92.8,27754,361,99.1,0.4,0.9,0.4,95.1,1.3,,,,,4.9,1.3,81.5,7.2,18.5,7.2,0.5,0.2,92.9,11.0,7.1,11.0,4.4,1.3,80.2,8.0,19.8,8.0,2.9,,,,,,3.6,,,,,,3.5,,,,,
0600000US4400719180,4400719180,"Cranston city, Providence County, Rhode Island",Cranston,76207,529,92.4,1.0,7.6,1.0,78.1,1.7,,,,,21.9,1.7,65.5,3.6,34.5,3.6,9.5,1.4,67.1,5.6,32.9,5.6,6.6,0.7,71.5,5.2,28.5,5.2,4.3,0.8,53.8,7.2,46.2,7.2,1.5,0.5,62.9,15.2,37.1,15.2,7226,1075,67.1,5.6,32.9,5.6,1215,327,96.5,2.9,3.5,2.9,5485,826,65.0,7.0,35.0,7.0,526,208,21.3,14.7,78.7,14.7,4994,507,71.5,5.2,28.5,5.2,336,122,72.9,15.0,27.1,15.0,3353,451,78.1,5.3,21.9,5.3,1305,279,54.0,11.3,46.0,11.3,3287,576,53.8,7.2,46.2,7.2,409,180,89.7,9.5,10.3,9.5,2541,460,52.9,9.5,47.1,9.5,337,100,17.2,10.8,82.8,10.8,1177,417,62.9,15.2,37.1,15.2,301,181,75.4,25.6,24.6,25.6,840,275,58.8,14.4,41.2,14.4,36,38,52.8,52.8,47.2,52.8,61382,942,94.7,0.7,5.3,0.7,81.8,1.5,,,,,18.2,1.5,70.8,3.5,29.2,3.5,7.4,1.2,70.3,5.9,29.7,5.9,10.9,1.0,71.0,4.3,29.0,4.3,3.6,,,,,,3.6,,,,,,3.5,,,,,
0600000US4400720080,4400720080,"Cumberland town, Providence County, Rhode Island",Cumberland,32466,261,95.7,1.0,4.3,1.0,85.9,1.8,,,,,14.1,1.8,69.6,5.7,30.4,5.7,3.9,1.2,65.8,10.7,34.2,10.7,9.1,1.3,74.8,6.3,25.2,6.3,1.0,0.7,34.2,29.4,65.8,29.4,0.1,0.1,100.0,52.0,0.0,52.0,1272,379,65.8,10.7,34.2,10.7,357,190,87.7,18.0,12.3,18.0,884,268,58.0,13.2,42.0,13.2,31,33,35.5,54.2,64.5,54.2,2940,427,74.8,6.3,25.2,6.3,236,128,92.4,9.7,7.6,9.7,1684,354,82.8,5.7,17.2,5.7,1020,219,57.5,11.3,42.5,11.3,319,213,34.2,29.4,65.8,29.4,102,98,21.6,38.8,78.4,38.8,199,134,43.7,29.1,56.3,29.1,18,20,0.0,72.5,100.0,72.5,35,38,100.0,52.0,0.0,52.0,7,12,100.0,100.0,0.0,100.0,26,28,100.0,60.4,0.0,60.4,2,7,100.0,100.0,0.0,100.0,25334,414,97.1,0.9,2.9,0.9,88.1,1.7,,,,,11.9,1.7,75.6,5.8,24.4,5.8,2.1,0.9,89.1,7.3,10.9,7.3,9.8,1.4,72.7,7.2,27.3,7.2,2.3,,,,,,1.2,,,,,,1.9,,,,,
0600000US4400322240,4400322240,"East Greenwich town, Kent County, Rhode Island",East Greenwich,12553,150,99.0,0.6,1.0,0.6,92.9,2.3,,,,,7.1,2.3,86.0,7.9,14.0,7.9,1.9,1.1,88.8,11.4,11.2,11.4,3.9,1.6,85.6,11.1,14.4,11.1,0.9,0.7,95.4,8.6,4.6,8.6,0.5,0.5,60.3,9.1,39.7,9.1,233,134,88.8,11.4,11.2,11.4,50,36,100.0,43.5,0.0,43.5,183,116,85.8,15.2,14.2,15.2,0,19,,,,,487,194,85.6,11.1,14.4,11.1,114,77,100.0,26.0,0.0,26.0,268,139,82.1,15.5,17.9,15.5,105,75,79.0,29.8,21.0,29.8,109,90,95.4,8.6,4.6,8.6,11,15,100.0,92.8,0.0,92.8,67,65,92.5,13.6,7.5,13.6,31,47,100.0,55.3,0.0,55.3,58,65,60.3,9.1,39.7,9.1,11,18,0.0,92.8,100.0,92.8,47,52,74.5,28.9,25.5,28.9,0,19,,,,,9608,270,99.2,0.6,0.8,0.6,94.2,2.0,,,,,5.8,2.0,86.5,10.4,13.5,10.4,1.7,1.2,84.5,16.9,15.5,16.9,4.0,1.4,87.3,12.2,12.7,12.2,6.0,,,,,,5.3,,,,,,8.6,,,,,
0600000US4400722960,4400722960,"East Providence city, Providence County, Rhode Island",East Providence,44136,432,91.0,1.2,9.0,1.2,77.6,2.2,,,,,22.4,2.2,59.9,3.6,40.1,3.6,3.7,1.0,66.3,9.2,33.7,9.2,16.7,1.8,60.2,3.9,39.8,3.9,1.3,0.4,54.5,13.1,45.5,13.1,0.7,0.4,29.3,21.2,70.7,21.2,1612,435,66.3,9.2,33.7,9.2,275,139,92.7,11.7,7.3,11.7,1217,398,62.9,11.8,37.1,11.8,120,77,40.8,33.5,59.2,33.5,7370,791,60.2,3.9,39.8,3.9,640,245,86.3,7.8,13.8,7.8,4600,601,69.0,4.7,31.0,4.7,2130,324,33.3,7.3,66.7,7.3,582,197,54.5,13.1,45.5,13.1,42,40,100.0,47.5,0.0,47.5,494,183,55.7,15.5,44.3,15.5,46,46,0.0,45.4,100.0,45.4,311,197,29.3,21.2,70.7,21.2,14,22,100.0,82.2,0.0,82.3,285,193,22.8,21.5,77.2,21.5,12,16,100.0,88.8,0.0,88.8,34922,795,93.2,1.1,6.8,1.1,80.8,2.1,,,,,19.2,2.1,64.5,4.3,35.5,4.3,3.0,1.0,71.0,10.3,29.0,10.3,16.2,1.9,63.3,4.6,36.7,4.6,3.3,,,,,,1.8,,,,,,2.2,,,,,
