geoID_long,geoID_short,muni_long,muni_short,pop_5+,eng_only,ne_very,ne_less,pct_eng_only,pct_ne_very,pct_ne_less
0600000US4400105140,4400105140,"Barrington town, Bristol County, Rhode Island",Barrington,15585,14216,1088.355,280.645,0.912159127366,0.069833493744,0.01800737889
0600000US4400109280,4400109280,"Bristol town, Bristol County, Rhode Island",Bristol,21674,18112,2244.06,1317.94,0.83565562425,0.103536956722,0.0608074190274
0600000US4400711800,4400711800,"Burrillville town, Providence County, Rhode Island",Burrillville,15343,14577,621.992,144.008,0.950074952747,0.0405391383693,0.00938590888353
0600000US4400714140,4400714140,"Central Falls city, Providence County, Rhode Island",Central Falls,17374,5056,5900.322,6417.678,0.291009554507,0.339606423391,0.369384022102
0600000US4400914500,4400914500,"Charlestown town, Washington County, Rhode Island",Charlestown,7387,7215,147.06,24.94,0.976715852173,0.0199079463923,0.00337620143495
0600000US4400318640,4400318640,"Coventry town, Kent County, Rhode Island",Coventry,33517,31919,1264.018,333.982,0.952322701912,0.0377127427872,0.0099645553003
0600000US4400719180,4400719180,"Cranston city, Providence County, Rhode Island",Cranston,76207,59523,10928.02,5755.98,0.781069980448,0.143399162807,0.0755308567454
0600000US4400720080,4400720080,"Cumberland town, Providence County, Rhode Island",Cumberland,32466,27900,3177.936,1388.064,0.859360561819,0.0978850489743,0.0427543892072
0600000US4400322240,4400322240,"East Greenwich town, Kent County, Rhode Island",East Greenwich,12553,11666,762.82,124.18,0.929339600096,0.0607679439178,0.00989245598662
0600000US4400722960,4400722960,"East Providence city, Providence County, Rhode Island",East Providence,44136,34261,5915.125,3959.875,0.776259742614,0.134020414174,0.0897198432119
0600000US4400925300,4400925300,"Exeter town, Washington County, Rhode Island",Exeter,6497,6079,328.966,89.034,0.935662613514,0.0506335231645,0.0137038633215
0600000US4400727460,4400727460,"Foster town, Providence County, Rhode Island",Foster,4446,4228,173.092,44.908,0.950967161493,0.0389320737742,0.0101007647323
0600000US4400730340,4400730340,"Glocester town, Providence County, Rhode Island",Glocester,9434,9012,316.922,105.078,0.955268178927,0.0335935976256,0.0111382234471
0600000US4400935380,4400935380,"Hopkinton town, Washington County, Rhode Island",Hopkinton,7899,7697,167.054,34.946,0.974427142676,0.0211487530067,0.004424104317
0600000US4400536820,4400536820,"Jamestown town, Newport County, Rhode Island",Jamestown,5287,4952,265.99,69.01,0.936637034235,0.0503101948175,0.0130527709476
0600000US4400737720,4400737720,"Johnston town, Providence County, Rhode Island",Johnston,27784,24231,2451.57,1101.43,0.872120644976,0.0882367549669,0.0396426000576
0600000US4400741500,4400741500,"Lincoln town, Providence County, Rhode Island",Lincoln,20284,17996,1802.944,485.056,0.887201735358,0.088885032538,0.0239132321041
0600000US4400542400,4400542400,"Little Compton town, Newport County, Rhode Island",Little Compton,3351,3200,133.031,17.969,0.954938824232,0.039698895852,0.00536227991644
