geoID_long,geoID_short,muni_long,muni_short,total_det,below_pov,pct_below_pov
0600000US4400105140,4400105140,"Barrington town, Bristol County, Rhode Island",Barrington,16192,298,0.0184041501976
0600000US4400109280,4400109280,"Bristol town, Bristol County, Rhode Island",Bristol,19774,1765,0.0892586224335
0600000US4400711800,4400711800,"Burrillville town, Providence County, Rhode Island",Burrillville,15579,1341,0.0860774119006
0600000US4400714140,4400714140,"Central Falls city, Providence County, Rhode Island",Central Falls,18923,6005,0.317338688369
0600000US4400914500,4400914500,"Charlestown town, Washington County, Rhode Island",Charlestown,7788,876,0.112480739599
0600000US4400318640,4400318640,"Coventry town, Kent County, Rhode Island",Coventry,34464,2755,0.0799384865367
0600000US4400719180,4400719180,"Cranston city, Providence County, Rhode Island",Cranston,76318,8527,0.111729867135
0600000US4400720080,4400720080,"Cumberland town, Providence County, Rhode Island",Cumberland,33684,1894,0.056228476428
0600000US4400322240,4400322240,"East Greenwich town, Kent County, Rhode Island",East Greenwich,13050,800,0.0613026819923
0600000US4400722960,4400722960,"East Providence city, Providence County, Rhode Island",East Providence,46315,5315,0.114757637914
0600000US4400925300,4400925300,"Exeter town, Washington County, Rhode Island",Exeter,6590,617,0.093626707132
0600000US4400727460,4400727460,"Foster town, Providence County, Rhode Island",Foster,4623,285,0.0616482803374
0600000US4400730340,4400730340,"Glocester town, Providence County, Rhode Island",Glocester,9844,380,0.03860219423
0600000US4400935380,4400935380,"Hopkinton town, Washington County, Rhode Island",Hopkinton,8110,309,0.0381011097411
0600000US4400536820,4400536820,"Jamestown town, Newport County, Rhode Island",Jamestown,5444,453,0.0832108743571
0600000US4400737720,4400737720,"Johnston town, Providence County, Rhode Island",Johnston,28478,2861,0.100463515696
0600000US4400741500,4400741500,"Lincoln town, Providence County, Rhode Island",Lincoln,21118,1747,0.0827256368974
0600000US4400542400,4400542400,"Little Compton town, Newport County, Rhode Island",Little Compton,3491,387,0.110856488112
0600000US4400545460,4400545460,"Middletown town, Newport County, Rhode Island",Middletown,15836,1129,0.0712932558727
0600000US4400948340,4400948340,"Narragansett town, Washington County, Rhode Island",Narragansett,15750,2525,0.160317460317
0600000US4400950500,4400950500,"New Shoreham town, Washington County, Rhode Island",New Shoreham,890,79,0.0887640449438
0600000US4400549960,4400549960,"Newport city, Newport County, Rhode Island",Newport,21676,2493,0.115011994833
0600000US4400951580,4400951580,"North Kingstown town, Washington County, Rhode Island",North Kingstown,26219,2162,0.0824592852512
0600000US4400751760,4400751760,"North Providence town, Providence County, Rhode Island",North Providence,31777,3455,0.10872643736
0600000US4400752480,4400752480,"North Smithfield town, Providence County, Rhode Island",North Smithfield,11780,539,0.0457555178268
0600000US4400754640,4400754640,"Pawtucket city, Providence County, Rhode Island",Pawtucket,70588,15083,0.213676545588
0600000US4400557880,4400557880,"Portsmouth town, Newport County, Rhode Island",Portsmouth,17127,1355,0.079114847901
0600000US4400759000,4400759000,"Providence city, Providence County, Rhode Island",Providence,164833,48914,0.296748830635
0600000US4400961160,4400961160,"Richmond town, Washington County, Rhode Island",Richmond,7625,380,0.0498360655738
0600000US4400764220,4400764220,"Scituate town, Providence County, Rhode Island",Scituate,10392,632,0.0608160123172
0600000US4400766200,4400766200,"Smithfield town, Providence County, Rhode Island",Smithfield,18183,754,0.0414673046252
0600000US4400967460,4400967460,"South Kingstown town, Washington County, Rhode Island",South Kingstown,25396,2216,0.0872578358797
0600000US4400570880,4400570880,"Tiverton town, Newport County, Rhode Island",Tiverton,15725,943,0.0599682034976
0600000US4400173760,4400173760,"Warren town, Bristol County, Rhode Island",Warren,10305,1066,0.103444929646
0600000US4400374300,4400374300,"Warwick city, Kent County, Rhode Island",Warwick,81238,5962,0.0733893005736
0600000US4400377720,4400377720,"West Greenwich town, Kent County, Rhode Island",West Greenwich,6102,339,0.0555555555556
0600000US4400378440,4400378440,"West Warwick town, Kent County, Rhode Island",West Warwick,28768,4592,0.159621802002
0600000US4400977000,4400977000,"Westerly town, Washington County, Rhode Island",Westerly,22454,2249,0.100160327781
0600000US4400780780,4400780780,"Woonsocket city, Providence County, Rhode Island",Woonsocket,40357,10514,0.260524816017
