GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
0600000US4400105140,4400105140,"Barrington town, Bristol County, Rhode Island",16290,21,16042,117,14967,211,83,78,0,19,381,121,0,19,0,19,611,162,12,18,599,159,248,114,219,108,12,31,0,19,0,19,0,19,1,3,16,23,0,19,16,23
0600000US4400109280,4400109280,"Bristol town, Bristol County, Rhode Island",22493,24,21914,158,21067,244,206,104,0,23,348,126,16,21,34,35,243,127,30,35,213,121,579,157,384,167,14,21,50,55,3,8,0,23,97,102,31,37,7,11,24,36
0600000US4400173760,4400173760,"Warren town, Bristol County, Rhode Island",10555,19,10301,140,10198,148,8,13,0,19,0,19,0,19,0,19,95,56,0,19,95,56,254,141,204,117,18,28,0,19,24,39,0,19,8,11,0,19,0,19,0,19
0600000US4400318640,4400318640,"Coventry town, Kent County, Rhode Island",34992,33,34449,202,33565,406,160,129,20,26,219,130,11,18,67,62,407,224,135,143,272,163,543,198,462,189,22,36,0,26,0,26,0,26,26,29,33,40,33,40,0,26
0600000US4400322240,4400322240,"East Greenwich town, Kent County, Rhode Island",13118,37,12807,188,12054,302,138,115,10,16,248,124,0,19,11,15,346,146,0,19,346,146,311,187,284,186,1,3,14,21,0,19,0,19,0,19,12,15,0,19,12,15
0600000US4400374300,4400374300,"Warwick city, Kent County, Rhode Island",82065,26,78420,484,73504,657,1102,288,67,73,2297,383,0,29,193,129,1257,271,157,119,1100,254,3645,481,1850,430,88,91,47,49,69,94,0,29,1397,427,194,118,131,109,63,68
0600000US4400377720,4400377720,"West Greenwich town, Kent County, Rhode Island",6118,36,5959,150,5430,363,106,100,14,24,275,289,0,17,0,17,134,141,1,2,133,141,159,148,15,24,0,17,0,17,0,17,0,17,110,127,34,52,34,52,0,17
0600000US4400378440,4400378440,"West Warwick town, Kent County, Rhode Island",28960,27,27444,468,25156,579,654,214,34,35,831,357,0,23,57,55,712,296,12,23,700,291,1516,471,1011,352,18,29,0,23,0,23,0,23,438,343,49,56,9,14,40,60
0600000US4400500000,4400500000,"County subdivisions not defined, Newport County, Rhode Island",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
