geoID_long,geoID_short,muni_long,muni_short,total,white,black,native,asian,pac,other,multi,hispanic
0600000US4400105140,4400105140.0,"Barrington town, Bristol County, Rhode Island",Barrington,16290.0,14967.0,83.0,0.0,381.0,0.0,0.0,611.0,248.0
0600000US4400109280,4400109280.0,"Bristol town, Bristol County, Rhode Island",Bristol,22493.0,21067.0,206.0,0.0,348.0,16.0,34.0,243.0,579.0
0600000US4400711800,4400711800.0,"Burrillville town, Providence County, Rhode Island",Burrillville,16108.0,15364.0,76.0,0.0,80.0,0.0,30.0,239.0,319.0
0600000US4400714140,4400714140.0,"Central Falls city, Providence County, Rhode Island",Central Falls,19406.0,4463.0,1669.0,25.0,8.0,0.0,333.0,274.0,12634.0
0600000US4400914500,4400914500.0,"Charlestown town, Washington County, Rhode Island",Charlestown,7788.0,7274.0,9.0,132.0,0.0,0.0,0.0,191.0,182.0
0600000US4400318640,4400318640.0,"Coventry town, Kent County, Rhode Island",Coventry,34992.0,33565.0,160.0,20.0,219.0,11.0,67.0,407.0,543.0
0600000US4400719180,4400719180.0,"Cranston city, Providence County, Rhode Island",Cranston,80680.0,60976.0,3686.0,311.0,4051.0,38.0,529.0,1842.0,9247.0
0600000US4400720080,4400720080.0,"Cumberland town, Providence County, Rhode Island",Cumberland,33930.0,30631.0,236.0,32.0,661.0,0.0,138.0,451.0,1781.0
0600000US4400322240,4400322240.0,"East Greenwich town, Kent County, Rhode Island",East Greenwich,13118.0,12054.0,138.0,10.0,248.0,0.0,11.0,346.0,311.0
0600000US4400722960,4400722960.0,"East Providence city, Providence County, Rhode Island",East Providence,47166.0,37730.0,2696.0,97.0,1049.0,0.0,642.0,2447.0,2505.0
0600000US4400925300,4400925300.0,"Exeter town, Washington County, Rhode Island",Exeter,6673.0,6159.0,88.0,2.0,147.0,0.0,0.0,14.0,263.0
0600000US4400727460,4400727460.0,"Foster town, Providence County, Rhode Island",Foster,4642.0,4423.0,63.0,0.0,4.0,0.0,9.0,143.0,0.0
0600000US4400730340,4400730340.0,"Glocester town, Providence County, Rhode Island",Glocester,9844.0,9548.0,34.0,0.0,32.0,0.0,8.0,90.0,132.0
0600000US4400935380,4400935380.0,"Hopkinton town, Washington County, Rhode Island",Hopkinton,8144.0,7623.0,254.0,0.0,76.0,0.0,0.0,70.0,121.0
0600000US4400536820,4400536820.0,"Jamestown town, Newport County, Rhode Island",Jamestown,5444.0,5132.0,21.0,28.0,0.0,0.0,0.0,138.0,125.0
0600000US4400737720,4400737720.0,"Johnston town, Providence County, Rhode Island",Johnston,28987.0,24834.0,510.0,137.0,1373.0,0.0,13.0,425.0,1695.0
