distcode,distname,schcode,schname,total,GPK,GPF,GKG,GKF,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12
00,Rhode Island,00,Rhode Island,142014,2014,436,1154,8743,10483,10799,11013,10900,10792,11005,10859,10945,11677,10595,9847,10752
01,Barrington,01,Barrington,3328,24,0,0,183,222,224,256,269,262,260,280,303,268,297,255,225
01,Barrington,01103,Primrose Hill School,316,23,0,0,60,74,63,96,0,0,0,0,0,0,0,0,0
01,Barrington,01104,Nayatt School,345,0,0,0,74,87,93,91,0,0,0,0,0,0,0,0,0
01,Barrington,01105,Hampden Meadows School,525,0,0,0,0,0,0,0,267,258,0,0,0,0,0,0,0
01,Barrington,01106,Barrington High School,1028,0,0,0,0,0,0,0,0,0,0,0,0,264,294,253,217
01,Barrington,01108,Barrington Middle School,841,0,0,0,0,0,0,0,0,0,258,280,303,0,0,0,0
01,Barrington,01109,Sowams Elementary School,246,0,0,0,49,61,68,68,0,0,0,0,0,0,0,0,0
01,Barrington,01190,Barrington Public Schools,27,1,0,0,0,0,0,1,2,4,2,0,0,4,3,2,8
03,Burrillville,03,Burrillville,2383,44,0,0,146,155,173,160,176,180,187,198,211,214,195,170,174
03,Burrillville,03104,Burrillville Middle School,595,0,0,0,0,0,0,0,0,0,187,198,210,0,0,0,0
03,Burrillville,03105,Steere Farm Elementary School,384,0,0,0,0,0,92,102,90,100,0,0,0,0,0,0,0
03,Burrillville,03107,William L. Callahan School,302,0,0,0,0,0,81,58,83,80,0,0,0,0,0,0,0
03,Burrillville,03108,Austin T. Levy School,344,44,0,0,146,154,0,0,0,0,0,0,0,0,0,0,0
03,Burrillville,03109,Burrillville High School,741,0,0,0,0,0,0,0,0,0,0,0,0,213,193,166,169
03,Burrillville,03190,Burrillville Public Schools,17,0,0,0,0,1,0,0,3,0,0,0,1,1,2,4,5
04,Central Falls,04,Central Falls,2657,164,1,0,197,215,241,232,214,269,167,143,147,151,161,172,183
04,Central Falls,04101,Ella Risk School,406,0,0,0,0,97,104,102,103,0,0,0,0,0,0,0,0
