distcode,distname,schcode,schname,total,GPK,GPF,GKG,GKF,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12
00,Rhode Island,00,Rhode Island,"141,959","2,002",367,"1,887","7,998","10,795","10,946","10,808","10,720","10,986","10,787","10,872","10,899","11,023","10,312","10,979","10,578"
01,Barrington,01,Barrington,"3,288",22,0,0,170,203,237,259,250,253,263,298,262,303,253,216,299
01,Barrington,01103,Primrose Hill School,314,21,0,0,58,62,89,84,0,0,0,0,0,0,0,0,0
01,Barrington,01104,Nayatt School,317,1,0,0,57,83,84,92,0,0,0,0,0,0,0,0,0
01,Barrington,01105,Hampden Meadows School,499,0,0,0,0,0,0,0,248,251,0,0,0,0,0,0,0
01,Barrington,01106,Barrington High School,"1,055",0,0,0,0,0,0,0,0,0,0,0,0,300,252,213,290
01,Barrington,01108,Barrington Middle School,819,0,0,0,0,0,0,0,0,0,263,297,259,0,0,0,0
01,Barrington,01109,Sowams Elementary School,260,0,0,0,55,58,64,83,0,0,0,0,0,0,0,0,0
01,Barrington,01190,Barrington Public Schools,24,0,0,0,0,0,0,0,2,2,0,1,3,3,1,3,9
03,Burrillville,03,Burrillville,"2,408",50,0,0,145,167,158,168,173,185,199,218,211,199,168,177,190
03,Burrillville,03104,Burrillville Middle School,626,0,0,0,0,0,0,0,0,0,199,217,210,0,0,0,0
03,Burrillville,03105,Steere Farm Elementary School,379,0,0,0,0,0,102,88,97,92,0,0,0,0,0,0,0
03,Burrillville,03107,William L. Callahan School,303,0,0,0,0,0,55,79,76,93,0,0,0,0,0,0,0
03,Burrillville,03108,Austin T. Levy School,361,50,0,0,144,167,0,0,0,0,0,0,0,0,0,0,0
03,Burrillville,03109,Burrillville High School,725,0,0,0,0,0,0,0,0,0,0,0,0,199,165,174,187
03,Burrillville,03190,Burrillville Public Schools,14,0,0,0,1,0,1,1,0,0,0,1,1,0,3,3,3
04,Central Falls,04,Central Falls,"2,683",90,0,0,222,241,233,208,268,236,131,151,150,155,173,199,226
04,Central Falls,04101,Ella Risk School,442,0,0,0,2,111,102,98,129,0,0,0,0,0,0,0,0
04,Central Falls,04104,Capt. G. Harold Hunt School,91,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
04,Central Falls,04106,Veterans Memorial Elementary,503,0,0,0,0,127,128,109,139,0,0,0,0,0,0,0,0
04,Central Falls,04108,Central Falls Senior High School,742,0,0,0,0,0,0,0,0,0,0,0,0,150,170,198,224
04,Central Falls,04115,Dr. Earl F. Calcutt Middle School,660,0,0,0,0,0,0,0,0,234,130,147,149,0,0,0,0
04,Central Falls,04117,Margaret I. Robertson School,222,0,0,0,219,3,0,0,0,0,0,0,0,0,0,0,0
04,Central Falls,04190,Central Falls Schools,23,0,0,0,0,0,3,1,0,2,1,4,1,5,3,1,2
06,Coventry,06,Coventry,"4,854",112,0,291,1,316,340,352,356,372,364,400,386,397,371,397,399
06,Coventry,06104,Alan Shawn Feinstein Middle School Of Coventry,"1,149",0,0,0,0,0,0,0,0,0,364,400,385,0,0,0,0
06,Coventry,06109,Western Coventry School,353,0,0,50,0,55,67,54,71,56,0,0,0,0,0,0,0
06,Coventry,06112,Hopkins Hill School,411,40,0,65,0,62,60,64,60,60,0,0,0,0,0,0,0
06,Coventry,06116,Tiogue School,373,0,0,59,0,57,67,66,58,66,0,0,0,0,0,0,0
06,Coventry,06117,Blackrock School,422,29,0,47,0,63,62,76,71,74,0,0,0,0,0,0,0
06,Coventry,06119,Coventry High School,"1,558",0,0,0,0,0,0,0,0,0,0,0,0,394,369,396,399
06,Coventry,06121,Washington Oak School,580,43,0,70,1,79,84,91,96,116,0,0,0,0,0,0,0
06,Coventry,06190,Coventry Public Schools,8,0,0,0,0,0,0,1,0,0,0,0,1,3,2,1,0
07,Cranston,07,Cranston,"10,457",32,22,595,3,786,786,812,805,837,823,863,869,785,755,846,838
07,Cranston,07103,Oak Lawn School,260,0,0,29,0,32,33,41,39,47,39,0,0,0,0,0,0
07,Cranston,07110,Daniel D. Waterman School,246,0,0,22,0,45,30,50,27,40,32,0,0,0,0,0,0
07,Cranston,07112,Chester W. Barrows School,185,0,0,21,0,41,30,35,30,28,0,0,0,0,0,0,0
07,Cranston,07113,Cranston High School East,"1,545",0,0,0,0,0,0,0,0,0,0,0,0,411,369,380,385
07,Cranston,07115,Hugh B. Bain Middle School,493,0,0,0,0,0,0,0,0,0,0,244,249,0,0,0,0
