ID,school_code,school_year,rolled_into,district_code_IWL,district_code_lea,school_type_iwl,school_type_other,is_open,name_iwl,name_hub,low_grade,high_grade,grade_config_IWL,grade_config_HUB,street1,street2,city,zip,phone,url,principal,principal_label,num_students,num_teachers,notes,name_short,district_name,name_short_lea,corecity_4_yn,corecity_5_yn,corecity_6_yn,charter_yn,compare_py_dsc,elem_yn,middle_yn,high_yn,pk_only_yn,title1_yn,grade_span,include_IWL_file_yn,display_yn_HUB,nces_code,ACT_CEEB_code,ucoa_code,ucoa_leacode,ctract2010,cblock2010,ctract2000,cblock2000,MC_yn,neighborhood
5424,01103,2014-2015,,01,01,Public School,,Y,Primrose Hill School,Primrose Hill School,PK,3,Emh,Elementary,60 Middle Highway,,Barrington,02806,4012473170,http://www.primrosehillschool.org/default.aspx,Patricia Tolento,Principal,314,,,Primrose Hill,Barrington,Barrington,N,N,N,N,,Y,N,N,N,,PK to 3,Y,Y,440003000006,,,,44001030200,,,,N,
5425,01104,2014-2015,,01,01,Public School,,Y,Nayatt School,Nayatt School,PK,3,Emh,Elementary,400 Nayatt Road,,Barrington,02806,4012473175,http://www.nayattschool.org/default.aspx,Tracey Whitehead,Principal,317,,,Nayatt School,Barrington,Barrington,N,N,N,N,,Y,N,N,N,,PK to 3,Y,Y,440003000004,,,,44001030400,,,,N,
5426,01105,2014-2015,,01,01,Public School,,Y,Hampden Meadows School,Hampden Meadows School,4,5,Emh,Elementary,297 New Meadow Road,,Barrington,02806,4012473166,http://www.hampdenmeadows.org/default.aspx,Tracey McGee,Principal,499,,,Hampden Meadows,Barrington,Barrington,N,N,N,N,,Y,N,N,N,,4 to 5,Y,Y,440003000003,,,,44001030300,,,,N,
5427,01106,2014-2015,,01,01,Public School,,Y,Barrington High School,Barrington High School,9,12,emH,High,220 Lincoln Avenue,,Barrington,02806,4012473150,http://www.barringtonhigh.org/,Joseph Hurley,Principal,1055,,,Barrington HS,Barrington,Barrington,N,N,N,N,,N,N,Y,N,,9 to 12,Y,Y,440003000001,400000,,,44001030200,,,,N,
5428,01108,2014-2015,,01,01,Public School,,Y,Barrington Middle School,Barrington Middle School,6,8,eMh,Middle,261 Middle Highway,,Barrington,02806,4012473160,http://www.barringtonmiddle.org/default.aspx,Andrew Anderson,Principal,819,,,Barrington MS,Barrington,Barrington,N,N,N,N,,N,Y,N,N,,6 to 8,Y,Y,440003000002,,,,44001030100,,,,N,
5429,01109,2014-2015,,01,01,Public School,,Y,Sowams Elementary School,Sowams Elementary School,K,3,Emh,Elementary,364 Sowams Road,,Barrington,02806,4012473180,http://barringtonschools.org,James Callahan,Principal,260,,,Sowams,Barrington,Barrington,N,N,N,N,,Y,N,N,N,,K to 3,Y,Y,440003000005,,,,44001030300,,,,N,
5430,03104,2014-2015,,03,03,Public School,,Y,Burrillville Middle School,Burrillville Middle School,6,8,eMh,Middle,2220 Broncos Highway,,Harrisville,02830,4015681320,http://bms.bsd-ri.net/,Dennis Kafalas,Principal,626,,,Burrillville MS,Burrillville,Burrillville,N,N,N,N,,N,Y,N,N,,6 to 8,Y,Y,440009000383,,,,44007013002,,,,N,
5431,03105,2014-2015,,03,03,Public School,,Y,Steere Farm Elementary School,Steere Farm Elementary School,2,5,Emh,Elementary,915 Steere Farm Road,,Pascoag,02859,4015681350,http://www.bsd-ri.net/schools,Janet Lyons,Principal,379,,,Steere Farm,Burrillville,Burrillville,N,N,N,N,,Y,N,N,N,,2 to 5,Y,Y,440009000057,,,,44007013002,,,,N,
5432,03107,2014-2015,,03,03,Public School,,Y,William L. Callahan School,William L. Callahan School,2,5,Emh,Elementary,75 Callahan School Street,,Harrisville,02830,4015681330,www.bsd-ri.net/schools,David Brissette,Principal,303,,,Callahan,Burrillville,Burrillville,N,N,N,N,,Y,N,N,N,,2 to 5,Y,Y,440009000022,,,,44007012900,,,,N,
5433,03108,2014-2015,,03,03,Public School,,Y,Austin T. Levy School,Austin T. Levy School,PK,1,Emh,Elementary,135 Harrisville Main Street,,Harrisville,02830,4015681340,http://www.bsd-ri.net/schools,Julie Mayhew,Principal,361,,,Levy,Burrillville,Burrillville,N,N,N,N,,Y,N,N,N,,PK to 1,Y,Y,440009000018,,,,44007012900,,,,N,
5434,03109,2014-2015,,03,03,Public School,,Y,Burrillville High School,Burrillville High School,9,12,emH,High,425 East Avenue,,Harrisville,02830,4015681310,http://bhs.bsd-ri.net/,Michael Whaley,Principal,725,,,Burrillville HS,Burrillville,Burrillville,N,N,N,N,,N,N,Y,N,,9 to 12,Y,Y,440009000019,400055,,,44007013002,,,,N,
5435,04101,2014-2015,,04,04,Public School,,Y,Ella Risk School,Ella Risk School,1,4,Emh,Elementary,949 Dexter Street,,Central Falls,02863,4017277730,http://risk.cfschools.net/,Maureen Azar,Principal,442,,,Ella Risk,Central Falls,Central Falls,Y,Y,Y,N,compare w/ caution,Y,N,N,N,,1 to 4,Y,Y,440012000027,,,,44007011100,,,,N,
5436,04104,2014-2015,,04,04,Public School,,Y,Capt. G. Harold Hunt School,Capt. G. Harold Hunt School,PK,PK,Emh,Elementary,14 Kendall Street,,Central Falls,02863,4017277720,http://hunt.cfschools.net/index.html,Beth Tanner,Principal,91,,,Harold Hunt,Central Falls,Central Falls,Y,Y,Y,N,,Y,N,N,N,,PK to PK,Y,Y,440012000025,,,,44007011100,,,,N,
5437,04105,2014-2015,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,
5438,04106,2014-2015,,04,04,Public School,,Y,Veterans Memorial Elementary,Veterans Memorial Elementary,1,4,Emh,Elementary,150 Fuller Avenue,,Central Falls,02863,4017277740,http://veterans.cfschools.net/,Ann Lynch,Principal,503,,,Veterans Mem.,Central Falls,Central Falls,Y,Y,Y,N,,Y,N,N,N,,1 to 4,Y,Y,440012000385,,,,44007011000,,,,N,
5439,04108,2014-2015,,04,04,Public School,,Y,Central Falls High School,Central Falls High School,9,12,emH,High,24 Summer Street,,Central Falls,02863,4017277710,http://cfhs.cfschools.net/,Joshua Laplante,Principal,742,,,Central Falls SHS,Central Falls,Central Falls,Y,Y,Y,N,,N,N,Y,N,,9 to 12,Y,Y,440012000026,400012,,,44007010800,,,,N,
5440,04109,2014-2015,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,440012000023,,,,,,,,,
5441,04110,2014-2015,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,440012000451,,,,,,,,,
5442,04115,2014-2015,,04,04,Public School,,Y,Calcutt Middle School,Calcutt Middle School,5,8,eMh,Middle,112 Washington Street,,Central Falls,02863,4017277726,http://calcutt.cfschools.net/,Heather Dos Santos,Principal,660,,,Calcutt MS,Central Falls,Central Falls,Y,Y,Y,N,,N,Y,N,N,,5 to 8,Y,Y,440012000024,,,,44007011000,,,,N,
5443,04117,2014-2015,,04,04,Public School,,Y,Margaret I. Robertson School,Margaret Robertson School,K,1,Emh,Elementary,135 Hunt Street,,Central Falls,02863,4017277733,http://robertson.cfschools.net/,Beth Tanner,Principal (PK-5),222,,,Robertson,Central Falls,Central Falls,Y,Y,Y,N,,Y,N,N,N,,K to 1,Y,Y,440012000028,,,,44007010900,,,,N,
5444,04601,2014-2015,,04,59,Independent Charter School,,Y,The Learning Community Charter School,The Learning Community Charter School,K,8,EMh,"Elem,Middle",21 Lincoln Avenue,,Central Falls,02863,4017229998,http://www.thelearningcommunity.com,Sarah Friedman and Meg O'Leary,Co-Principals,561,,,Learning Community,Learning Community,Learning Comm. Charter,Y,Y,Y,Y,compare with caution,Y,Y,N,N,,K to 8,Y,Y,440000600326,,,,44007010900,,,,N,
5445,04602,2014-2015,,04,46,Independent Charter School,,Y,Segue Institute for Learning,Segue Institute for Learning,6,8,eMh,Middle,325 Cowden Street,,Central Falls,02863,4017210964,http://segueifl.org/,Melissa Lourenco,Principal,240,,,Segue Institute,Segue Institute for Learning,Segue Inst. Learning,Y,Y,Y,Y,,N,Y,N,N,,6 to 8,Y,Y,440001400472,,,,44007011000,,,,N,
5446,04603,2014-2015,,04,42,Independent Charter School,,Y,Sheila Skip Nowell Leadership Academy (I),Sheila Skip Nowell Leadership Academy (I),9,12,emH,High,43 Hawes Street,,Central Falls,02863,4017221600,http://www.nowellacademy.org/,Jodi Timpani,Principal,79,,,Nowell HS (I),Nowell Leadership Academy,Nowell Ldshp,Y,Y,Y,Y,,N,N,Y,N,,9 to 12,Y,Y,,,,,44007010800,,,,N,
5447,06104,2014-2015,,06,06,Public School,,Y,Alan Shawn Feinstein Middle School Of Coventry,Alan Shawn Feinstein Middle School Of Coventry,6,8,eMh,Middle,15 Foster Drive,,Coventry,02816,4018229426,http://asfms.net/,Arthur Lisi,Principal,1149,,,AS Feinstein MS,Coventry,Coventry,N,N,N,N,,N,Y,N,N,,6 to 8,Y,Y,440021000465,,,,44003020601,,,,N,
5448,06105,2014-2015,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,440021000272,,,,,,,,,
5449,06109,2014-2015,,06,06,Public School,,Y,Western Coventry School,Western Coventry School,K,5,Emh,Elementary,4588 Flat River Road,,Coventry,02816,4013973355,http://schools.coventryschools.net/western/,Amy Anzalone,Principal,353,,,Western Coventry,Coventry,Coventry,N,N,N,N,,Y,N,N,N,,K to 5,Y,Y,440021000041,,,,44003020702,,,,N,
5450,06111,2014-2015,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,?,,,,,,,,,
5451,06112,2014-2015,,06,06,Public School,,Y,Hopkins Hill School,Hopkins Hill School,PK,5,Emh,Elementary,95 Johnson Boulevard,,Coventry,02816,4018229477,http://schools.coventryschools.net/hh/,Kathryn Tancrelle,Principal,411,,,Hopkins Hill,Coventry,Coventry,N,N,N,N,,Y,N,N,N,,PK to 5,Y,Y,440021000035,,,,44003020603,,,,N,
5452,06114,2014-2015,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,440021000037,,,,,,,,,
5453,06116,2014-2015,,06,06,Public School,,Y,Tiogue School,Tiogue School,K,5,Emh,Elementary,170 East Shore Drive,,Coventry,02816,4018229460,http://schools.coventryschools.net/tiogue/,Louise Seitsinger,Principal,373,,,Tiogue,Coventry,Coventry,N,N,N,N,,Y,N,N,N,,K to 5,Y,Y,440021000365,,,,44003020603,,,,N,
5454,06117,2014-2015,,06,06,Public School,,Y,Blackrock School,Blackrock School,PK,5,Emh,Elementary,12 LaCasa Drive,,Coventry,02816,4018229450,http://schools.coventryschools.net/Blackrock/,Alicia Reniere-Castle,Principal,422,,,Blackrock,Coventry,Coventry,N,N,N,N,,Y,N,N,N,,PK to 5,Y,Y,440021000031,,,,44003020601,,,,N,
5455,06119,2014-2015,,06,06,Public School,,Y,Coventry High School,Coventry High School,9,12,emH,High,40 Reservoir Road,,Coventry,02816,4018229499,http://schools.coventryschools.net/highschool/,Michael Hobin,Principal,1558,,,Coventry HS,Coventry,Coventry,N,N,N,N,,N,N,Y,N,,9 to 12,Y,Y,440021000032,400030,,,44003020703,,,,N,
5456,06121,2014-2015,,06,06,Public School,,Y,Washington Oak School,Washington Oak School,PK,5,Emh,Elementary,801 Read School House Road,,Coventry,02816,4013971976,http://www.coventryschools.net,Don Cowart,Principal,580,,,Washington Oak,Coventry,Coventry,N,N,N,N,,Y,N,N,N,,PK to 5,Y,Y,440021000034,,,,44003020703,,,,N,
