ID,school_code,school_year,rolled_into,district_code_IWL,district_code_lea,school_type_iwl,school_type_other,is_open,name_iwl,name_hub,low_grade,high_grade,grade_config_IWL,grade_config_HUB,street1,street2,city,zip,phone,url,principal,principal_label,num_students,num_teachers,notes,name_short,district_name,name_short_lea,corecity_4_yn,corecity_5_yn,corecity_6_yn,charter_yn,compare_py_dsc,elem_yn,middle_yn,high_yn,pk_only_yn,title1_yn,grade_span,include_IWL_file_yn,display_yn_HUB,nces_code,ACT_CEEB_code,ucoa_code,ucoa_leacode,ctract2010,cblock2010,ctract2000,cblock2000,MC_yn,neighborhood
5786,01103,2015-2016,,01,01,Public School,,Y,Primrose Hill School,Primrose Hill School,PK,3,Emh,Elementary,60 Middle Highway,,Barrington,02806,4012473170,http://www.primrosehillschool.org/default.aspx/,Patricia Tolento,Principal,316,,,Primrose Hill,Barrington,Barrington,N,N,N,N,,Y,N,N,N,,PK to 3,Y,Y,440003000006,,,,44001030200,,,,N,
5787,01104,2015-2016,,01,01,Public School,,Y,Nayatt School,Nayatt School,PK,3,Emh,Elementary,400 Nayatt Road,,Barrington,02806,4012473175,http://www.nayattschool.org/default.aspx/,Tracey Whitehead,Principal,345,,,Nayatt School,Barrington,Barrington,N,N,N,N,,Y,N,N,N,,PK to 3,Y,Y,440003000004,,,,44001030400,,,,N,
5788,01105,2015-2016,,01,01,Public School,,Y,Hampden Meadows School,Hampden Meadows School,4,5,Emh,Elementary,297 New Meadow Road,,Barrington,02806,4012473166,http://www.hampdenmeadows.org/default.aspx/,Tracey McGee,Principal,525,,,Hampden Meadows,Barrington,Barrington,N,N,N,N,,Y,N,N,N,,4 to 5,Y,Y,440003000003,,,,44001030300,,,,N,
5789,01106,2015-2016,,01,01,Public School,,Y,Barrington High School,Barrington High School,9,12,emH,High,220 Lincoln Avenue,,Barrington,02806,4012473150,http://www.barringtonhigh.org/,Joseph Hurley,Principal,1028,,,Barrington HS,Barrington,Barrington,N,N,N,N,,N,N,Y,N,,9 to 12,Y,Y,440003000001,400000,,,44001030200,,,,N,
5790,01108,2015-2016,,01,01,Public School,,Y,Barrington Middle School,Barrington Middle School,6,8,eMh,Middle,261 Middle Highway,,Barrington,02806,4012473160,http://www.barringtonmiddle.org/default.aspx/,Andrew  Anderson,Principal,841,,,Barrington MS,Barrington,Barrington,N,N,N,N,,N,Y,N,N,,6 to 8,Y,Y,440003000002,,,,44001030100,,,,N,
5791,01109,2015-2016,,01,01,Public School,,Y,Sowams Elementary School,Sowams Elementary School,K,3,Emh,Elementary,364 Sowams Road,,Barrington,02806,4012473180,http://barringtonschools.org/,James Callahan,Principal,246,,,Sowams,Barrington,Barrington,N,N,N,N,,Y,N,N,N,,K to 3,Y,Y,440003000005,,,,44001030300,,,,N,
5792,03104,2015-2016,,03,03,Public School,,Y,Burrillville Middle School,Burrillville Middle School,6,8,eMh,Middle,2220 Broncos Highway,,Harrisville,02830,4015681320,http://bms.bsd-ri.net/,Dennis Kafalas,Principal,595,,,Burrillville MS,Burrillville,Burrillville,N,N,N,N,,N,Y,N,N,,6 to 8,Y,Y,440009000383,,,,44007013002,,,,N,
5793,03105,2015-2016,,03,03,Public School,,Y,Steere Farm Elementary School,Steere Farm Elementary School,2,5,Emh,Elementary,915 Steere Farm Road,,Pascoag,02859,4015681350,http://sfe.bsd-ri.net/,Janet Lyons,Principal,384,,,Steere Farm,Burrillville,Burrillville,N,N,N,N,,Y,N,N,N,,2 to 5,Y,Y,440009000057,,,,44007013002,,,,N,
5794,03107,2015-2016,,03,03,Public School,,Y,William L. Callahan School,William L. Callahan School,2,5,Emh,Elementary,75 Callahan School Street,,Harrisville,02830,4015681330,http://wlc.bsd-ri.net/,David Brissette,Principal,302,,,Callahan,Burrillville,Burrillville,N,N,N,N,,Y,N,N,N,,2 to 5,Y,Y,440009000022,,,,44007012900,,,,N,
5795,03108,2015-2016,,03,03,Public School,,Y,Austin T. Levy School,Austin T. Levy School,PK,1,Emh,Elementary,135 Harrisville Main Street,,Harrisville,02830,4015681340,http://atl.bsd-ri.net/,Julie Mayhew,Principal,344,,,Levy,Burrillville,Burrillville,N,N,N,N,,Y,N,N,N,,PK to 1,Y,Y,440009000018,,,,44007012900,,,,N,
5796,03109,2015-2016,,03,03,Public School,,Y,Burrillville High School,Burrillville High School,9,12,emH,High,425 East Avenue,,Harrisville,02830,4015681310,http://bhs.bsd-ri.net/,Michael Whaley,Principal,741,,,Burrillville HS,Burrillville,Burrillville,N,N,N,N,,N,N,Y,N,,9 to 12,Y,Y,440009000019,400055,,,44007013002,,,,N,
5797,04101,2015-2016,,04,04,Public School,,Y,Ella Risk School,Ella Risk School,1,4,Emh,Elementary,949 Dexter Street,,Central Falls,02863,4017277731,http://risk.cfschools.net/,Michael Templeton,Principal,406,,,Ella Risk,Central Falls,Central Falls,Y,Y,Y,N,compare w/ caution,Y,N,N,N,,1 to 4,Y,Y,440012000027,,,,44007011100,,,,N,
5798,04104,2015-2016,,04,04,Public School,,Y,Capt. G. Harold Hunt School,Capt. G. Harold Hunt School,PK,1,Emh,Elementary,14 Kendall Street,,Central Falls,02863,4017277720,http://hunt.cfschools.net/,Beth Tanner,Principal,168,,"In 2015-16, grade 1 was added.",Harold Hunt,Central Falls,Central Falls,Y,Y,Y,N,,Y,N,N,N,,PK to 1,Y,Y,440012000025,,,,44007011100,,,,N,
5799,04105,2015-2016,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,
5800,04106,2015-2016,,04,04,Public School,,Y,Veterans Memorial Elementary,Veterans Memorial Elementary,1,4,Emh,Elementary,150 Fuller Avenue,,Central Falls,02863,4017277740,http://veterans.cfschools.net/,Jose Valerio,Principal,491,,,Veterans Mem.,Central Falls,Central Falls,Y,Y,Y,N,,Y,N,N,N,,1 to 4,Y,Y,440012000385,,,,44007011000,,,,N,
5801,04108,2015-2016,,04,04,Public School,,Y,Central Falls Senior High School,Central Falls High School,9,12,emH,High,24 Summer Street,,Central Falls,02863,4017277710,http://cfhs.cfschools.net/,Troy Silvia,Principal,664,,,Central Falls SHS,Central Falls,Central Falls,Y,Y,Y,N,,N,N,Y,N,,9 to 12,Y,Y,440012000026,400012,,,44007010800,,,,N,
5802,04109,2015-2016,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,440012000023,,,,,,,,,
5803,04110,2015-2016,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,440012000451,,,,,,,,,
5804,04115,2015-2016,,04,04,Public School,,Y,Dr. Earl F. Calcutt Middle School,Calcutt Middle School,5,8,eMh,Middle,112 Washington Street,,Central Falls,02863,4017277726,http://calcutt.cfschools.net/,Buddy Comet,Principal,719,,,Calcutt MS,Central Falls,Central Falls,Y,Y,Y,N,,N,Y,N,N,,5 to 8,Y,Y,440012000024,,,,44007011000,,,,N,
5805,04117,2015-2016,,04,04,Public School,,Y,Margaret I. Robertson School,Margaret Robertson School,PK,1,Emh,Elementary,135 Hunt Street,,Central Falls,02863,4017277733,http://robertson.cfschools.net/,Beth Tanner,Principal (PK-5),194,,"In 2015-16, grade PK was added.",Robertson,Central Falls,Central Falls,Y,Y,Y,N,,Y,N,N,N,,PK to 1,Y,Y,440012000482,,,,44007010900,,,,N,
5806,04601,2015-2016,,04,59,Independent Charter School,,Y,The Learning Community Charter School,The Learning Community Charter School,K,8,EMh,"Elem,Middle",21 Lincoln Avenue,,Central Falls,02863,4017229998,http://www.thelearningcommunity.com/,Sarah Friedman; Meg O'Leary,Principals,556,,,Learning Community,Learning Community,Learning Comm. Charter,Y,Y,Y,Y,compare with caution,Y,Y,N,N,,K to 8,Y,Y,440000600326,,,,44007010900,,,,N,
5807,04602,2015-2016,,04,46,Independent Charter School,,Y,Segue Institute for Learning,Segue Institute for Learning,6,8,eMh,Middle,325 Cowden Street,,Central Falls,02863,4017210964,,Angelo Garcia; Melissa Lourenco,Ex. Director; Principal,238,,,Segue Institute,Segue Institute for Learning,Segue Inst. Learning,Y,Y,Y,Y,,N,Y,N,N,,6 to 8,Y,Y,440001400472,,,,44007011000,,,,N,
5808,04603,2015-2016,,04,42,Independent Charter School,,Y,Sheila Skip Nowell Leadership Academy (Central Campus),Sheila Skip Nowell Leadership Academy (I),9,12,emH,High,43 Hawes Street,,Central Falls,02863,4017510405,,Jodi LaFauci,Director,67,,,Nowell HS (I),Sheila Skip Nowell Leadership Academy,Nowell Ldshp,Y,Y,Y,Y,,N,N,Y,N,,9 to 12,Y,Y,440002400484,,,,44007010800,,,,N,
5809,06104,2015-2016,,06,06,Public School,,Y,Alan Shawn Feinstein Middle School Of Coventry,Alan Shawn Feinstein Middle School Of Coventry,6,8,eMh,Middle,15 Foster Drive,,Coventry,02816,4018229426,http://asfms.net/,Arthur Lisi,Principal,1140,,,AS Feinstein MS,Coventry,Coventry,N,N,N,N,,N,Y,N,N,,6 to 8,Y,Y,440021000465,,,,44003020601,,,,N,
5810,06105,2015-2016,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,440021000272,,,,,,,,,
5811,06109,2015-2016,,06,06,Public School,,Y,Western Coventry School,Western Coventry School,K,5,Emh,Elementary,4588 Flat River Road,,Coventry,02816,4013973355,http://schools.coventryschools.net/western/,Amy Anzalone,Principal,362,,,Western Coventry,Coventry,Coventry,N,N,N,N,,Y,N,N,N,,K to 5,Y,Y,440021000041,,,,44003020702,,,,N,
5812,06111,2015-2016,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,?,,,,,,,,,
5813,06112,2015-2016,,06,06,Public School,,Y,Hopkins Hill School,Hopkins Hill School,K,5,Emh,Elementary,95 Johnson Boulevard,,Coventry,02816,4018229477,http://schools.coventryschools.net/hh/,Kathryn Tancrelle,Principal,358,,"In 2015-16, grade PK was dropped.",Hopkins Hill,Coventry,Coventry,N,N,N,N,,Y,N,N,N,,K to 5,Y,Y,440021000035,,,,44003020603,,,,N,
5814,06114,2015-2016,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,440021000037,,,,,,,,,
5815,06116,2015-2016,,06,06,Public School,,Y,Tiogue School,Tiogue School,PK,5,Emh,Elementary,170 East Shore Drive,,Coventry,02816,4018229460,http://schools.coventryschools.net/tiogue/,Louise  Seitsinger,Principal,410,,"In 2015-16, grade PK was added.",Tiogue,Coventry,Coventry,N,N,N,N,,Y,N,N,N,,PK to 5,Y,Y,440021000365,,,,44003020603,,,,N,
