code,type,status,name,dist,config,nces,street1,street2,city,zip,phone,url,p_name,p_title
01103,Public LEA School (Public School),Active,Primrose Hill School,Barrington,Yes,440003000006,60 Middle Highway,,Barrington,02806,4012473170,www.primrosehillschool.org/default.aspx,Patricia  Tolento,Principal
01104,Public LEA School (Public School),Active,Nayatt School,Barrington,Elementary,440003000004,400 Nayatt Road,,Barrington,02806,4012473175,www.nayattschool.org/default.aspx,Tracey  Whitehead,Principal
01105,Public LEA School (Public School),Active,Hampden Meadows School,Barrington,Elementary,440003000003,297 New Meadow Road,,Barrington,02806,4012473166,www.hampdenmeadows.org/default.aspx,Tracey  McGee,Principal
01106,Public LEA School (Public School),Active,Barrington High School,Barrington,400000,440003000001,220 Lincoln Avenue,,Barrington,02806,4012473150,www.barringtonhigh.org/,Joseph  Hurley,Principal
01108,Public LEA School (Public School),Active,Barrington Middle School,Barrington,Middle,440003000002,261 Middle Highway,,Barrington,02806,4012473160,www.barringtonmiddle.org/default.aspx,Andrew   Anderson,Principal
01109,Public LEA School (Public School),Active,Sowams Elementary School,Barrington,Elementary,440003000005,364 Sowams Road,,Barrington,02806,4012473180,barringtonschools.org,James  Callahan,Principal
01190,District Admin (Public School),Active,Barrington Public Schools,Barrington,Elementary/Middle/High,,283 County Road,PO Box 95,Barrington,02806,4012455000,barringtonschools.org,Michael B. Messore,Superintendent
01201,Catholic School (Religious School),Active,St. Luke School,Catholic Schools,No,,10 Waldron Avenue,,Barrington,02806,4012460990,www.stlukesri.org,Maureen A. Jannetta,Principal
01301,"Independent (PK, Elem/Sec)  (Private School)",Active,St. Andrew's School,,No,,63 Federal Road,,Barrington,02806,4012461230,www.standrews-ri.org,John D. Martin,Headmaster
01303,Pre School (Private School),Active,Montessori Centre of Barrington,,Yes,,303 Sowams Road,,Barrington,02806,4012454754,,Rey Ann Garcia-Mills,Director
01304,Pre School (Private School),Active,JCC at Temple Habonim-Barrington,,Yes,,165 New Meadow Road,,Barrington,02806,4012456536,,Sue  Connor,Director
01322,Pre School (Private School),Active,Red Brick School,,Yes,,50 Middle Highway,,Barrington,02806,4012462342,,Kathy  Rywolt,Director
01323,Pre School (Private School),Active,Kids Quarters Inc.,,Yes,,64 Bay Spring Avenue,,Barrington,02806,4012460100,,Julie  Bianco,Director
01324,Pre School (Private School),Active,Tot's Cooperative Nursery School,,Yes,,461 County Road,,Barrington,02806,4012462021,,Elaine  Reavy,Director
01329,Pre School (Private School),Active,"Barrington Early Childhood Center, Inc.",,Yes,,P.O. Box 448,College Lane,Barrington,02806,4012460037,,Carol  Wolfe,Director
01332,"Independent (PK, Elem/Sec)  (Private School)",Active,Barrington Christian Academy,,Yes,,9 Old County Road,,Barrington,02806,4012460113,www.bcacademy.org,Elsie R. Wright,Head of School
01900,Home School (Home School),Active,Barrington Home Schooling,Barrington,No,,,,,,,,,
01901,Special Education (Special Education),Active,East Bay Mental Health                            ,,No,,,,,,,,,
01903,Special Education (Special Education),Active,Barrington Early Learning Center,,No,,136 County Road,,Barrington,02806,4012459200,,,
01990,Special Education (Special Education),Active,Private School - No Assigned Code                 ,Barrington,No,,,,,,,,,
01997,Special Education (Special Education),Active,Home Instruction                                  ,Barrington,No,,,,,,,,,
01998,Special Education (Special Education),Active,Out-Of-State Placement                            ,Barrington,Yes,,,,,,,,,
01999,Special Education (Special Education),Active,Homebound/Hospitalized                            ,Barrington,Yes,,,,,,,,,
03104,Public LEA School (Public School),Active,Burrillville Middle School,Burrillville,Middle,440009000383,2220 Broncos Highway,,Harrisville,02830,4015681320,bms.bsd-ri.net/,Dennis  Kafalas,Principal
03105,Public LEA School (Public School),Active,Steere Farm Elementary School,Burrillville,Elementary,440009000057,915 Steere Farm Road,,Pascoag,02859,4015681350,www.bsd-ri.net/schools,Janet  Lyons,Principal
03107,Public LEA School (Public School),Active,William L. Callahan School                        ,Burrillville,Elementary,440009000022,75 Callahan School Street,,Harrisville,02830,4015681330,www.bsd-ri.net/schools,David  Brissette,Principal
03108,Public LEA School (Public School),Active,Austin T. Levy School,Burrillville,Yes,440009000018,135 Harrisville Main Street,,Harrisville,02830,4015681340,www.bsd-ri.net/schools,Julie  Mayhew,Principal
03109,Public LEA School (Public School),Active,Burrillville High School,Burrillville,400055,440009000019,425 East Avenue,,Harrisville,02830,4015681310,bhs.bsd-ri.net/,Michael  Whaley,Principal
03190,District Admin (Public School),Active,Burrillville Public Schools,Burrillville,Elementary/Middle/High,,2300 Bronco Highway,,Harrisville,02830,4015681301,www.bsd-ri.net,Frank  Pallotta,Superintendent
03310,Pre School (Private School),Active,Harrisville Preschool,,Yes,,474 Chapel Street,,Harrisville,02830,4015686095,,Donna M. Tucker,Director
03311,"Independent (PK, Elem/Sec)  (Private School)",Active,Community Christian School                        ,,Yes,,113 Church Street             ,,Pascoag,02859,4015685263, ,Linda L. Goulet,Director
03900,Home School (Home School),Active,Burrillville Home Schooling,Burrillville,No,,,,,,,,,
03901,Special Education (Special Education),Active,Northwest Community Nursing/Health Services       ,,No,,,,,,,,,
03902,Special Education (Special Education),Active,Tri-Town Day Care                                 ,,No,,,,,,,,,
03903,Special Education (Special Education),Active,Phoenix Academy at Wallum Lake,,No,,PO Box 398,,Pascoag,02859,,,,
03904,Special Education (Special Education),Active,Burrillville Transition Program,Burrillville,Yes,,425 East Avenue,,Harrisville,02930,4015681301,,,
03990,Special Education (Special Education),Active,Private School - No Assigned Code                 ,Burrillville,No,,,,,,,,,
03997,Special Education (Special Education),Active,Home Instruction                                  ,Burrillville,No,,,,,,,,,
03998,Special Education (Special Education),Active,Out-Of-State Placement                            ,Burrillville,Yes,,,,,,,,,
03999,Special Education (Special Education),Active,Homebound/Hospitalized                            ,Burrillville,Yes,,,,,,,,,
04101,Public LEA School (Public School),Active,Ella Risk School,Central Falls,Elementary,440012000027,949 Dexter Street,,Central Falls,02863,4017277731,risk.cfschools.net,Michael  Templeton,Principal
04104,Public LEA School (Public School),Active,Capt. G. Harold Hunt School,Central Falls,1,440012000025,14 Kendall Street,,Central Falls,02863,4017277720,hunt.cfschools.net,Beth  Tanner,Principal
04106,Public LEA School (Public School),Active,Veterans Memorial Elementary,Central Falls,Elementary,440012000385,150 Fuller Avenue,,Central Falls,02863,4017277740,veterans.cfschools.net,Jose  Valerio,Principal
04108,Public LEA School (Public School),Active,Central Falls Senior High School,Central Falls,400012,440012000026,24 Summer Street,,Central Falls,02863,4017277710,cfhs.cfschools.net,Troy  Silvia,Principal
04115,Public LEA School (Public School),Active,Dr. Earl F. Calcutt Middle School,Central Falls,Middle,440012000024,112 Washington Street,,Central Falls,02863,4017277726,calcutt.cfschools.net,Buddy  Comet,Principal
04117,Public LEA School (Public School),Active,Margaret I. Robertson School,Central Falls,Elementary,440012000482,135 Hunt Street,,Central Falls,02863,4017277733,robertson.cfschools.net,Beth  Tanner,Principal (PK-5)
04190,District Admin (Public School),Active,Central Falls Schools,Central Falls,Elementary/Middle/High,,21 Hedley Avenue,,Central Falls,02863,4017277700,cfschools.net,Victor  Capellan,Superintendent
04302,Pre School (Private School),Active,Play Plus Preschool (YWCA),,Yes,,43 Hawes Street,,Central Falls,02863,4017239922,,Claire  Silva,Director
04304,Pre School (Private School),Active,The Children's Workshop-CF,,Yes,,151 Hunt Street,,Central Falls,02863,4017274474,,Antonio  Martins,Director
04305,Pre School (Private School),Active,Progreso Latino Excellence Academy,Central Falls,No,,626 Broad Street,,Central Falls,02863,4017277700,,Frances  Gallo,Superintendent
04601,Charter School (Public School),Active,The Learning Community Charter School,Learning Community,Elementary/Middle,440000600326,21 Lincoln Avenue,,Central Falls,02863,4017229998,www.thelearningcommunity.com,"Sarah  Friedman, Meg  O'Leary",Principals
04602,Charter School (Public School),Active,Segue Institute for Learning,Segue Institute for Learning,Middle,440001400472,325 Cowden Street,,Central Falls,02863,4017210964,,"Angelo  Garcia, Angelo  Garcia, Melissa  Lourenco, Melissa  Lourenco","Ex. Director, Ex. Director, Principal, Principal"
04603,Charter School (Public School),Active,Sheila Skip Nowell Leadership Academy (Central Campus),Sheila Skip Nowell Leadership Academy,High,440002400484,43 Hawes Street,,Central Falls,02863,4017510405,,Jodi  LaFauci,Director
04900,Home School (Home School),Active,Central Falls Home Schooling,Central Falls,No,,,,,,,,,
