code,grades,level,address,c_s_z,phone,fax,website
,,,105 Gano StreetPO Box 2496Health & Safety Services & Community Preparedness,"Providence, RI  02906",(401) 831-7700 X121,(401) 831-0502 ,www.riredcross.org
,,,1401 Hope StreetEnvironmental Education Center,"Bristol, RI  02809-1001",(401) 245-7500 X3111,(401) 245-9339 ,www.asrieec.org
,,,1516 Atwood Avenue,"Johnston, RI  02919",(401) 785-2666 ,(401) 785-2272 ,www.theautismproject.org
,,,One Cathedral Square,"Providence, RI  02903",(401) 278-4550 ,(401) 278-4596 ,www.catholicschools.org
,,,"400 Bald Hill Road, Suite R10Warwick Mall","Warwick, RI  02886",(401) 736-3170 ,,
,,,222 Richmond StreetSuite 300Brown University,"Providence, RI  02903-4226",(401) 274-9548 X245,(401) 421-7650 ,www.alliance.brown.edu
,,,620 Potters Avenue,"Providence, RI  02907",(401) 781-6110 ,(401) 461-8788 ,www.gencenter.org
,,,41 Cherry Dale CourtJohn O. Pastore Center,"Cranston, RI  02920-3049",(401) 462-0100 ,(401) 462-0106 ,www.disabilities.ri.gov
,,,334 Pleasant Street,"Pawtucket, RI  02860",(401) 721-0824 ,(401) 721-0976 ,www.internationalcharterschool.org
,,,120 Waterman StreetSuite 200,"Providence, RI  02906",(401) 331-3850 ,(401) 351-9860 ,ri.ja.org
,,,PO Box 72611,"Providence, RI  02907",(401) 861-0815 ,(401) 861-0863 ,www.lvari.org
,,,"80 Washington Street, Room 334University of Rhode Island","Providence, RI  02903",(401) 277-5045 ,(401) 277-5151 ,www.ncpe.uri.edu
,,,99 Bald Hill Road,"Cranston, RI  02920",(401) 463-9630 ,(401) 463-5337 ,www.neari.org
,,,222 Richmond StreetSuite 300,"Providence, RI  02903-4226",(401) 274-9548 X517,(401) 351-9594 ,neeac.alliance.brown.edu
,,,29 Touro Street,"Newport, RI  02840",(401) 841-0080 ,(401) 841-0149 ,www.ohpri.org
,,,Rhode Island College600 Mt. Pleasant Avenue,"Providence, RI  02908",(401) 456-8072 ,(401) 456-8150 ,www.sherlockcenter.org
,,,100 South Street,"Providence, RI  02903",(401) 273-5437 X136,(401) 273-1004 ,www.childrenmuseum.org
,,,PO Box 219,"Barrington, RI  02806",(401) 474-9848 ,(401) 474-9848 ,www.riage.org
,,,PO Box 7170,"Warwick, RI  02887",(401) 334-0100 X238,(401) 335-4545 ,
,,,150 Benefit StreetThe Old State House,"Providence, RI  02903",(401) 222-2678 ,(401) 222-2968 ,www.preservation.ri.gov
,,,One Union Station,"Providence, RI  02903",(401) 351-9400 ,(401) 351-1758 ,www.rikidscount.org
,,,3296 Post Roadc/o Chamber Education Foundation,"Warwick, RI  02886",(401) 732-7700 ,(401) 732-7715 ,www.mentorri.org
,,,600 Mt. Pleasant AvenueRIC East Campus-Bldg. #6,"Providence, RI  02908-1924",(401) 272-6405 ,(401) 272-6409 ,
,,,Providence CollegeOffice of Graduate StudiesRhode Island School Counseling Project,"Providence, RI  02918-0001",(401) 865-2789 ,(401) 865-1788 ,www.rischoolcounselor.org
,,,226 Sunnybrook Farm Road,"Narragansett, RI  02882",(401) 792-3828 ,,
,,,142 Beacon Avenue,"Jamestown, RI  02835",(401) 423-9989 ,,www.ri.net/RIAEA
